Domaine,Serveur,Tache,MU,Unité de gestion,sess,Session,Job,Uproc,Statut,Prévu,Début,Fin,Durée,Temps estimé,Fil rouge,Info
U_,devr-qls-pr-01,M_DEVR_QLS_00100,M_PRD_DEVR_QLS_NUIT_001,Traitements QlikSense,M_DEVR_QLS_00100,Traitement Objectif CA,M_DEVR_QLS_00100_D,Debut Objectif CA,COMPLETED,44599.8368055556,44599.8368055556,44599.837037037,0.000231481484661344,0.000208333333333333,0,0
QLS,devr-qls-pr-01,M_DEVR_QLS_00100,M_PRD_DEVR_QLS_NUIT_001,Traitements QlikSense,M_DEVR_QLS_00100,Traitement Objectif CA,M_DEVR_QLS_00100_P,Extract OBJECTIF CA,COMPLETED,44599.8368055556,44599.8368171296,44599.8368865741,6.94444461259991E-05,6.94444444444444E-05,0,0
QLS,devr-qls-pr-01,M_DEVR_QLS_00100,M_PRD_DEVR_QLS_NUIT_001,Traitements QlikSense,M_DEVR_QLS_00100,Traitement Objectif CA,M_DEVR_QLS_00101_P,Envoi portail sharepoint,COMPLETED,44599.8368055556,44599.8368865741,44599.8369097222,2.31481462833472E-05,9.25925925925926E-05,0,0
QLS,devr-qls-pr-01,M_DEVR_QLS_00100,M_PRD_DEVR_QLS_NUIT_001,Traitements QlikSense,M_DEVR_QLS_00100,Traitement Objectif CA,M_DEVR_QLS_00102_P,OUTPUT_ca_flash_fildeleau,ABORTED,44599.8368055556,44599.8369097222,44599.837025463,0.000115740738692693,4.62962962962963E-05,0,0
U_,devr-qls-pr-01,M_DEVR_QLS_00100,M_PRD_DEVR_QLS_NUIT_001,Traitements QlikSense,M_DEVR_QLS_00100,Traitement Objectif CA,M_DEVR_QLS_00100_F,Fin Objectif CA,COMPLETED,44599.8368055556,44599.837037037,44599.837037037,0,0,0,0
U_,devr-dwh-pr-01,M_DEVR_DECI_00209_QUOT,M_PRD_DEVR_DECI_NUIT_019,CA FLASH,M_DEVR_DECI_00209,CA_FLASH_FILDELEAU,M_DEVR_DECI_00209_D,Uproc debut CA_FLASH_FILDELEAU,COMPLETED,44599.8368055556,44599.8368171296,44599.8376273148,0.000810185185400769,0.000613425925925926,0,0
DECI,devr-dwh-pr-01,M_DEVR_DECI_00209_QUOT,M_PRD_DEVR_DECI_NUIT_019,CA FLASH,M_DEVR_DECI_00209,CA_FLASH_FILDELEAU,M_DEVR_DECI_00209_P,CA_FLASH_FILDELEAU_RESEAU,COMPLETED,44599.8368055556,44599.8368287037,44599.8370486111,0.000219907407881692,0.000185185185185185,0,0
DECI,devr-dwh-pr-01,M_DEVR_DECI_00209_QUOT,M_PRD_DEVR_DECI_NUIT_019,CA FLASH,M_DEVR_DECI_00209,CA_FLASH_FILDELEAU,M_DEVR_DECI_00210_P,CA_FLASH_FILDELEAU,COMPLETED,44599.8368055556,44599.8370486111,44599.8374652778,0.000416666669480037,0.000405092592592593,0,0
DECI,devr-dwh-pr-01,M_DEVR_DECI_00209_QUOT,M_PRD_DEVR_DECI_NUIT_019,CA FLASH,M_DEVR_DECI_00209,CA_FLASH_FILDELEAU,M_DEVR_PORT_00120_P,CA flash fil de l'eau - Envoi portail,COMPLETED,44599.8368055556,44599.8374652778,44599.8374884259,2.31481462833472E-05,,0,0
DECI,devr-dwh-pr-01,M_DEVR_DECI_00209_QUOT,M_PRD_DEVR_DECI_NUIT_019,CA FLASH,M_DEVR_DECI_00209,CA_FLASH_FILDELEAU,M_DEVR_DECI_00280_P,CA_FLASH_FILDELEAU_1.8,COMPLETED,44599.8368055556,44599.8374768519,44599.8376157407,0.000138888884976041,,0,0
U_,devr-dwh-pr-01,M_DEVR_DECI_00209_QUOT,M_PRD_DEVR_DECI_NUIT_019,CA FLASH,M_DEVR_DECI_00209,CA_FLASH_FILDELEAU,M_DEVR_DECI_00209_F,Uproc fin CA_FLASH_FILDELEAU,COMPLETED,44599.8368055556,44599.8376157407,44599.8376273148,1.15740767796524E-05,0,0,0
U_,devr-dwh-pr-01,M_DEVR_DECI_00209_QUOT,M_PRD_DEVR_DECI_NUIT_019,CA FLASH,M_DEVR_DECI_00209,CA_FLASH_FILDELEAU,M_DEVR_DECI_00209_D,Uproc debut CA_FLASH_FILDELEAU,COMPLETED,44599.8784722222,44599.8368171296,44599.8368287037,1.15740695036948E-05,0.000613425925925926,0,0
DECI,devr-dwh-pr-01,M_DEVR_DECI_00209_QUOT,M_PRD_DEVR_DECI_NUIT_019,CA FLASH,M_DEVR_DECI_00209,CA_FLASH_FILDELEAU,M_DEVR_DECI_00209_P,CA_FLASH_FILDELEAU_RESEAU,COMPLETED,44599.8784722222,44599.8368287037,44599.8370486111,0.000219907407881692,0.000185185185185185,0,0
DECI,devr-dwh-pr-01,M_DEVR_DECI_00209_QUOT,M_PRD_DEVR_DECI_NUIT_019,CA FLASH,M_DEVR_DECI_00209,CA_FLASH_FILDELEAU,M_DEVR_DECI_00210_P,CA_FLASH_FILDELEAU,COMPLETED,44599.8784722222,44599.8370486111,44599.8374652778,0.000416666669480037,0.000405092592592593,0,0
DECI,devr-dwh-pr-01,M_DEVR_DECI_00209_QUOT,M_PRD_DEVR_DECI_NUIT_019,CA FLASH,M_DEVR_DECI_00209,CA_FLASH_FILDELEAU,M_DEVR_PORT_00120_P,CA flash fil de l'eau - Envoi portail,COMPLETED,44599.8784722222,44599.8374652778,44599.8374884259,2.31481462833472E-05,,0,0
DECI,devr-dwh-pr-01,M_DEVR_DECI_00209_QUOT,M_PRD_DEVR_DECI_NUIT_019,CA FLASH,M_DEVR_DECI_00209,CA_FLASH_FILDELEAU,M_DEVR_DECI_00280_P,CA_FLASH_FILDELEAU_1.8,COMPLETED,44599.8784722222,44599.8374768519,44599.8376157407,0.000138888884976041,,0,0
U_,devr-dwh-pr-01,M_DEVR_DECI_00209_QUOT,M_PRD_DEVR_DECI_NUIT_019,CA FLASH,M_DEVR_DECI_00209,CA_FLASH_FILDELEAU,M_DEVR_DECI_00209_F,Uproc fin CA_FLASH_FILDELEAU,COMPLETED,44599.8784722222,44599.8376157407,44599.8376273148,1.15740767796524E-05,0,0,0
U_,devr-qls-pr-01,M_DEVR_QLS_00103,M_PRD_DEVR_QLS_NUIT_001,Traitements QlikSense,M_DEVR_QLS_00103,ca_flash_fildeleau_Intranet,M_DEVR_QLS_00103_D,Debut ca_flash_fildeleau_Intranet,COMPLETED,44599.8402777778,44599.8402777778,44599.8405787037,0.000300925923511386,0.000636574074074074,0,0
QLS,devr-qls-pr-01,M_DEVR_QLS_00103,M_PRD_DEVR_QLS_NUIT_001,Traitements QlikSense,M_DEVR_QLS_00103,ca_flash_fildeleau_Intranet,M_DEVR_QLS_00103_P,OUTPUT_ca_flash_fildeleau_Intranet,COMPLETED,44599.8402777778,44599.8402893519,44599.8405671296,0.000277777777228039,0.000625,0,0
U_,devr-qls-pr-01,M_DEVR_QLS_00103,M_PRD_DEVR_QLS_NUIT_001,Traitements QlikSense,M_DEVR_QLS_00103,ca_flash_fildeleau_Intranet,M_DEVR_QLS_00103_F,Fin ca_flash_fildeleau_Intranet,COMPLETED,44599.8402777778,44599.8405671296,44599.8405787037,1.15740767796524E-05,1.15740740740741E-05,0,0
U_,devr-dwh-pr-01,M_DEVR_DECI_00100_QUOT,M_PRD_DEVR_DECI_NUIT_001,DECISIONNEL REFERENCIELS,M_DEVR_DECI_00100,REFERENTIELS_SASBI,M_DEVR_DECI_00100_D,Uproc debut referentiels_sasbi,COMPLETED,44599.8541666667,44599.8541782407,44599.8586574074,0.00447916666598758,0.0178819444444444,9999,0
DECI,devr-dwh-pr-01,M_DEVR_DECI_00100_QUOT,M_PRD_DEVR_DECI_NUIT_001,DECISIONNEL REFERENCIELS,M_DEVR_DECI_00100,REFERENTIELS_SASBI,M_DEVR_DECI_00100_P,Referentiels temps - DVR_DEC_SAS_DIM_TPS,COMPLETED,44599.8541666667,44599.8541898148,44599.8542939815,0.000104166661913041,9.25925925925926E-05,9999,0
DECI,devr-dwh-pr-01,M_DEVR_DECI_00100_QUOT,M_PRD_DEVR_DECI_NUIT_001,DECISIONNEL REFERENCIELS,M_DEVR_DECI_00100,REFERENTIELS_SASBI,M_DEVR_DECI_00103_P,Referentiels Fournisseurs - DVR_DEC_SAS_DIM_FRN,COMPLETED,44599.8541666667,44599.8542939815,44599.8543981481,0.000104166669188999,0.000127314814814815,0,0
